,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
26,Special place to enjoy your stay 10% discount L.P,https://www.airbnb.com/rooms/32951033,672,monthly,760,Entire apartment,1,,33.894,35.527,0.8,0.9,entire_home,2
27,Charmant logement à bouchriye,https://www.airbnb.com/rooms/21627768,673,monthly,761,Entire apartment,2,,33.89077,35.56021,0.59,0.9,entire_home,2
28,T0 . New Furnished Studio Sassine Area,https://www.airbnb.com/rooms/12141395,675,monthly,769,Entire apartment,2,,33.88477,35.51825,0.9,0.0,entire_home,1
29,Cosy apartment in the middle heart of Beirut!,https://www.airbnb.com/rooms/33794262,675,monthly,798,Entire apartment,1,,33.899,35.5,0.9,0.98,entire_home,5
30,Cosy flat in Mar Michael,https://www.airbnb.com/rooms/21516401,678,monthly,778,Entire apartment,3,,33.897,35.527,0.9,0.0,entire_home,2
31,"Cozy & Neat Studio, Ideal for Business Travellers",https://www.airbnb.com/rooms/42637489,683,monthly,761,Entire condominium,2,,33.96315,35.60259,0.65,0.8,entire_home,2
32,Duplex 2 - 3 bed  Apartment Mar Mikhael,https://www.airbnb.com/rooms/22436112,689,monthly,806,Entire apartment,3,,33.89667,35.52737,0.62,0.91,entire_home,3
33,Roof studio - Fanar - alam,https://www.airbnb.com/rooms/35217848,693,monthly,767,Entire apartment,5,,33.88114,35.56813,0.7,0.85,entire_home,2
34,Spacious Studio Overlooking the Sea,https://www.airbnb.com/rooms/42584069,720,monthly,796,Entire loft,30,,33.9339,35.61552,0.8,0.95,entire_home,2
35,Spacious apartment 5 mn. walk to pubs and restos,https://www.airbnb.com/rooms/38064937,720,monthly,813,Entire apartment,1,,33.87936,35.62318,0.6,0.8,entire_home,4
36,One bedroom ap at zalka,https://www.airbnb.com/rooms/36446023,720,monthly,802,Entire apartment,3,,33.89936,35.57278,0.8,0.9,entire_home,2
37,Stylish 42sqm Chalet in Siwar Center BlocA,https://www.airbnb.com/rooms/39313968,720,monthly,796,Entire apartment,30,,33.96352,35.60376,0.6,0.9,entire_home,2
38,Apartment in Sin-El-Fil,https://www.airbnb.com/rooms/15711127,720,monthly,803,Entire apartment,5,,33.88507,35.54405,0.8,0.9,entire_home,4
39,Beautiful Renovated Apartment in Beirut City,https://www.airbnb.com/rooms/13885908,720,monthly,830,Entire apartment,2,,33.89859,35.52771,0.8,0.85,entire_home,3
40,Chalet Solemar,https://www.airbnb.com/rooms/30060369,729,monthly,806,Entire guest suite,4,,33.97851,35.60978,0.9,0.95,entire_home,3
41,monatop,https://www.airbnb.com/rooms/37953751,738,monthly,825,Entire apartment,2,,33.86519,35.52484,0.9,0.95,entire_home,4
