,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
118,"Redesigned 2 bdr apartment, close to subway",https://www.airbnb.com/rooms/25418692,2165,monthly,2493,Entire apartment,30,,41.4388,2.19006,1.0,1.0,entire_home,4
119,Barcelona from its roots in the OLD TOWN!,https://www.airbnb.com/rooms/36200254,2165,monthly,2515,Entire apartment,30,,41.3856,2.1776,0.5,0.9,entire_home,3
120,SPÍTI - C211 Barcelona,https://www.airbnb.com/rooms/18167818,2165,monthly,2395,Entire apartment,30,,41.394,2.147,0.0,0.0,entire_home,4
121,Cozy Spanish home in Barcelona Center,https://www.airbnb.com/rooms/40851260,2165,monthly,2395,Entire apartment,30,,41.38107,2.16548,0.0,0.0,entire_home,4
122,Студия Романтика,https://www.airbnb.com/rooms/11097686,2165,monthly,2407,Entire apartment,3,,41.37394,2.11383,1.0,1.0,entire_home,2
123,Loft with terrace in the city center,https://www.airbnb.com/rooms/29821418,2165,monthly,2395,Entire loft,30,,41.37931,2.16357,0.0,0.0,entire_home,4
124,Spacious loft with sea view near the beach,https://www.airbnb.com/rooms/23563573,2165,monthly,2414,Entire house,1,,41.43672,2.23579,0.0,0.0,entire_home,6
125,BAILE - C211 Barcelona,https://www.airbnb.com/rooms/18148057,2165,monthly,2395,Entire apartment,30,,41.394,2.147,0.0,0.0,entire_home,4
126,Spacious apartments in the city center,https://www.airbnb.com/rooms/42687488,2165,monthly,2414,Entire apartment,1,,41.38151,2.13692,0.0,0.0,entire_home,9
127,KAAINGA - C211 Barcelona,https://www.airbnb.com/rooms/26551159,2165,monthly,2395,Entire apartment,30,,41.394,2.147,0.0,0.0,entire_home,4
128,Modern Luxury Apartment Fira BCN,https://www.airbnb.com/rooms/9257379,2165,monthly,2469,Entire apartment,2,,41.36528,2.12241,0.5,1.0,entire_home,4
129,comfortable central 2-5 p apartment,https://www.airbnb.com/rooms/958946,2165,monthly,2457,Entire condominium,5,,41.37933,2.16106,0.65,1.0,entire_home,4
130,Comfortable Consell Barcelona Apartment,https://www.airbnb.com/rooms/43410820,2165,monthly,2395,Entire apartment,3,,41.38983,2.16345,0.5,0.95,entire_home,4
131,HEM - C211 Barcelona,https://www.airbnb.com/rooms/26551614,2165,monthly,2395,Entire apartment,30,,41.394,2.147,0.0,0.0,entire_home,4
132,GHAR - C211 Barcelona,https://www.airbnb.com/rooms/26519990,2165,monthly,2395,Entire apartment,30,,41.394,2.147,0.0,0.0,entire_home,4
133,Estudio en pleno centro,https://www.airbnb.com/rooms/43502499,2165,monthly,2395,Entire loft,30,,41.38258,2.16593,0.0,0.0,entire_home,3
134,Bonito y luminoso piso en Sarrià-Sant Gervasi.,https://www.airbnb.com/rooms/40025233,2165,monthly,2469,Entire apartment,30,,41.40116,2.14248,0.0,0.0,entire_home,3
135,Charming flat in the center of Barc,https://www.airbnb.com/rooms/3427245,2165,monthly,2395,Entire apartment,1,,41.37321,2.16273,1.0,1.0,entire_home,4
136,BARI - C211 Barcelona,https://www.airbnb.com/rooms/26550311,2165,monthly,2395,Entire apartment,30,,41.394,2.147,0.0,0.0,entire_home,4
