,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
22,monastery studio,https://www.airbnb.com/rooms/24041989,1559,monthly,1799,Entire apartment,14,,52.08624,5.11869,0.72,1.0,entire_home,2
23,Lovely studio with a stunning view,https://www.airbnb.com/rooms/16426692,1571,monthly,1774,Entire condominium,1,,52.37678,4.84638,0.75,1.0,entire_home,2
24,apartment 60 m2 near keukenhof,https://www.airbnb.com/rooms/9407483,1578,monthly,1777,Entire apartment,1,,52.30742,4.60657,0.7,1.0,entire_home,4
25,2 kamers met eigen Keuken/WC/Bad aan rand centrum,https://www.airbnb.com/rooms/43040461,1579,monthly,1778,Entire house,14,,52.09976,5.10869,0.9,1.0,entire_home,2
26,Waterfront Apartment - Affordable Short Term Stay,https://www.airbnb.com/rooms/42383015,1586,monthly,1754,Entire apartment,28,,52.22381,4.98239,0.56,0.75,entire_home,1
27,Top located Apartment In Amsterdam,https://www.airbnb.com/rooms/40850907,1586,monthly,1791,Entire apartment,4,,52.36824,4.87287,0.4,0.85,entire_home,4
28,Your luxury home away from home in Utrecht,https://www.airbnb.com/rooms/43059665,1599,monthly,1824,Entire apartment,6,,52.09151,5.09504,0.6,0.95,entire_home,4
29,Bright and new apartment near city centre 💕,https://www.airbnb.com/rooms/8882403,1599,monthly,1831,Entire apartment,14,,52.39575,4.87654,0.4,0.85,entire_home,2
30,Deluxe Apartment Utrecht City West,https://www.airbnb.com/rooms/42950195,1599,monthly,1824,Entire apartment,6,,52.09198,5.09678,0.6,0.95,entire_home,4
0,"Sweet house at the river, well connected.",https://www.airbnb.com/rooms/38286573,1601,monthly,1888,Entire townhouse,2,,52.0863,4.73926,0.8,0.93,entire_home,4
1,Appartement/ studio te Naarden,https://www.airbnb.com/rooms/21588300,1613,monthly,1827,Entire guesthouse,2,,52.29602,5.14933,1.0,1.0,entire_home,2
2,Live like a local in Utrecht!,https://www.airbnb.com/rooms/18921217,1624,monthly,1852,Entire apartment,14,,52.092,5.101,0.75,0.0,entire_home,4
3,"A beautifull cosy appartment in Hilversum, 45m2",https://www.airbnb.com/rooms/3136664,1624,monthly,1840,Entire apartment,3,,52.24168,5.18256,0.75,0.9,entire_home,2
4,Luxe appartement voor tijdelijke woonruimte,https://www.airbnb.com/rooms/43551945,1624,monthly,1796,Entire apartment,1,,52.08673,5.05708,0.65,1.0,entire_home,1
5,"Nice, cozy appartment between Leiden and The Hague",https://www.airbnb.com/rooms/26499393,1624,monthly,1796,Entire apartment,2,,52.1412,4.4404,0.75,0.85,entire_home,2
6,Fijn modern driepersoons appartement Utrecht West,https://www.airbnb.com/rooms/43248102,1624,monthly,1858,Entire apartment,7,,52.09039,5.09526,0.65,0.97,entire_home,3
7,Chester Apartment,https://www.airbnb.com/rooms/30373356,1629,monthly,1845,Entire apartment,6,,52.32606,4.9455,0.64,0.84,entire_home,4
8,4 pers Zomerhuis te huur aan de Noordzee kust,https://www.airbnb.com/rooms/28619376,1632,monthly,1897,Entire guesthouse,3,,52.61588,4.62861,0.6,0.75,entire_home,4
9,Loft apartment with a bike (close to Amsterdam),https://www.airbnb.com/rooms/6834643,1634,monthly,1875,Entire loft,19,,52.26926,4.977,0.7,0.9,entire_home,2
10,Beautiful Apartment (3min) city centre & station,https://www.airbnb.com/rooms/40004018,1643,monthly,1836,Entire apartment,6,,52.39381,4.64066,0.68,0.88,entire_home,2
11,Studio Jan van Goyen - Apartment,https://www.airbnb.com/rooms/130284,1644,monthly,1880,Entire apartment,5,,52.15285,4.48526,0.47,0.85,entire_home,2
12,Central Studio in Residential Area.,https://www.airbnb.com/rooms/36874061,1666,monthly,1905,Entire apartment,5,,52.36389,4.86833,0.4,1.0,entire_home,2
13,Gezellige studio in het groen nabij Amsterdam,https://www.airbnb.com/rooms/43525096,1671,monthly,1878,Entire apartment,2,,52.42818,4.96355,0.0,0.9,entire_home,3
14,Studio 2 (Quiet and spacious in Wittevrouwen),https://www.airbnb.com/rooms/1116419,1673,monthly,1851,Entire townhouse,2,,52.1,5.139,0.75,0.9,entire_home,2
15,Stylish apartment close to Amsterdam and Utrecht,https://www.airbnb.com/rooms/13123810,1689,monthly,1960,Entire guesthouse,7,,52.12815,5.20491,0.78,1.0,entire_home,2
16,Lake retreat near Amsterdam,https://www.airbnb.com/rooms/13543129,1691,monthly,1901,Entire guesthouse,2,,52.26697,5.09833,0.75,0.85,entire_home,2
17,Former church near Amsterdam/Hoorn,https://www.airbnb.com/rooms/1636501,1691,monthly,1907,Entire place,2,,52.63578,5.15708,0.75,0.95,entire_home,2
18,Waterside Cottage,https://www.airbnb.com/rooms/23577535,1695,monthly,1912,Entire guesthouse,2,,52.42874,4.91859,0.73,0.84,entire_home,3
19,Exclusive and LUX Apartment with VIP Hospitality,https://www.airbnb.com/rooms/36510815,1699,monthly,2033,Entire apartment,3,,52.34727,4.62489,0.6,0.79,entire_home,9
20,Superior Penthouse Apartment Utrecht City West,https://www.airbnb.com/rooms/43009099,1699,monthly,1935,Entire apartment,7,,52.09169,5.09701,0.6,0.95,entire_home,2
21,vrijstaande 2 kamer woning centrum Beverwijk,https://www.airbnb.com/rooms/37648331,1699,monthly,1941,Entire apartment,14,,52.48302,4.66129,0.85,1.0,entire_home,3
22,Private appartement center-walk  central station,https://www.airbnb.com/rooms/26558362,1706,monthly,1942,Entire apartment,3,,52.37881,4.89537,0.6,0.65,entire_home,1
23,"Zeiltoren, Almere, near Amsterdam",https://www.airbnb.com/rooms/21973670,1719,monthly,1926,Tiny house,2,,52.392,5.217,0.75,0.85,entire_home,2
24,Modern apartment in vibrant Utrecht (Lombok),https://www.airbnb.com/rooms/20739319,1733,monthly,1972,Entire apartment,14,,52.092,5.101,0.65,0.95,entire_home,4
25,Unique houseboat apartment 30 min from Amsterdam,https://www.airbnb.com/rooms/34556046,1739,monthly,1924,Boat,2,,52.49243,4.79729,0.87,0.87,entire_home,2
26,Modern apartment 20 min from Amsterdam,https://www.airbnb.com/rooms/36717402,1741,monthly,1962,Entire apartment,2,,52.22764,5.18827,0.0,0.0,entire_home,3
27,"Central situated apartment, independent check in.",https://www.airbnb.com/rooms/39723932,1747,monthly,1963,Entire apartment,2,,52.26822,5.13705,0.9,0.95,entire_home,2
28,Cozy Studio in Utrecht City,https://www.airbnb.com/rooms/11240619,1747,monthly,1951,Entire apartment,2,,52.09595,5.13341,0.8,0.9,entire_home,2
29,House & big garden near the coast in tulip area,https://www.airbnb.com/rooms/9234393,1749,monthly,1983,Entire house,2,,52.25586,4.55257,0.75,1.0,entire_home,4
30,Spacious apartment (2-3 p) near Leiden/Amsterdam,https://www.airbnb.com/rooms/27686846,1749,monthly,1966,Entire apartment,2,,52.17911,4.46048,0.7,0.9,entire_home,3
31,Prachtig appartement in rustige wijk van Almere,https://www.airbnb.com/rooms/43145429,1750,monthly,1991,Entire apartment,21,,52.37844,5.23854,0.75,0.9,entire_home,5
32,Boat with heating nearby Schiphol,https://www.airbnb.com/rooms/18067530,1755,monthly,1972,Boat,1,,52.26306,4.74053,1.0,0.9,entire_home,2
33,Private Studio 40min from ADAM FREE parking,https://www.airbnb.com/rooms/14829599,1755,monthly,1941,Entire house,2,,52.34513,5.22439,1.0,1.0,entire_home,2
34,Apartment in nature near Amsterdam,https://www.airbnb.com/rooms/27621522,1756,monthly,1986,Entire apartment,3,,52.435,4.812,0.8,0.9,entire_home,3
35,Private house/apartment near Amsterdam,https://www.airbnb.com/rooms/14646887,1759,monthly,1946,Entire apartment,2,,52.20694,5.19901,0.6,0.8,entire_home,4
36,Apartment in Zuidas area,https://www.airbnb.com/rooms/43323641,1774,monthly,2147,Entire apartment,3,,52.33626,4.88852,0.75,0.85,entire_home,4
37,1 Bedroom + Balcony in Amsterdam Centre,https://www.airbnb.com/rooms/43599980,1774,monthly,1962,Entire apartment,14,,52.37876,4.88657,0.71,0.0,entire_home,2
38,"Appartement bij bossen, heide en centrum Hilversum",https://www.airbnb.com/rooms/38903483,1774,monthly,1993,Entire apartment,2,,52.22857,5.17644,0.71,0.89,entire_home,3
39,Big 2-bedroom apartment + balcony in Leiden centre,https://www.airbnb.com/rooms/35027669,1784,monthly,2010,Entire apartment,12,,52.16456,4.48118,0.45,0.9,entire_home,4
40,"Well located, cozy appartement for two in Zaandam.",https://www.airbnb.com/rooms/23136864,1795,monthly,2010,Entire apartment,3,,52.45243,4.81438,0.59841,0.9,entire_home,2
41,2 rooms apartment in Utrecht Centre.,https://www.airbnb.com/rooms/41513650,1799,monthly,2064,Entire apartment,5,,52.11232,5.07945,0.9,0.0,entire_home,4
42,Canal House Lower (LW),https://www.airbnb.com/rooms/20914351,1800,monthly,2107,Entire apartment,4,,52.15837,4.49868,0.6,0.68,entire_home,2
0,Canal House Lower (LW),https://www.airbnb.com/rooms/20914351,1800,monthly,2107,Entire apartment,4,,52.15837,4.49868,0.6,0.68,entire_home,2
1,19th century cottage in citycentre of Weesp,https://www.airbnb.com/rooms/2507135,1809,monthly,2050,Entire house,1,,52.31361,5.02971,0.65,0.95,entire_home,2
2,Studio Noordwijk aan Zee,https://www.airbnb.com/rooms/36864080,1822,monthly,2052,Entire guest suite,3,,52.27489,4.47682,0.7,0.85,entire_home,3
3,licht appartement vlakbij centrum,https://www.airbnb.com/rooms/6517738,1829,monthly,2072,Entire apartment,4,,52.08881,5.09353,0.61,0.81,entire_home,3
4,Fresh and modern 2 rooms house in centre Utrecht,https://www.airbnb.com/rooms/38690704,1832,monthly,2101,Entire apartment,5,,52.09528,5.1032,0.0,0.0,entire_home,4
5,Monumental Style House: nature/history combined,https://www.airbnb.com/rooms/22913107,1834,monthly,2091,Entire townhouse,1,,52.311,5.043,0.51,0.8,entire_home,5
6,B500: Apartment Centrum Bussum near station,https://www.airbnb.com/rooms/13538994,1837,monthly,2075,Entire apartment,2,,52.27599,5.15943,0.0,0.0,entire_home,4
7,nice lovely Studio.,https://www.airbnb.com/rooms/22626930,1839,monthly,2065,Entire apartment,3,,52.15981,4.48543,0.8,1.0,entire_home,2
8,Nice living with small garden near city center,https://www.airbnb.com/rooms/15144427,1839,monthly,2126,Entire house,2,,52.11128,5.08521,0.8,0.9,entire_home,2
9,Detached House in a Rural Area,https://www.airbnb.com/rooms/1218259,1841,monthly,2036,Entire house,2,,52.10606,4.94067,0.65,0.9,entire_home,4
10,Home away from Home in Utrecht,https://www.airbnb.com/rooms/31939305,1841,monthly,2092,Entire apartment,14,,52.09273,5.10047,0.85,0.0,entire_home,4
11,"Mooi, lichte, zonnige apartement in rustige wijk.",https://www.airbnb.com/rooms/40373569,1841,monthly,2098,Entire apartment,1,,52.06495,4.51016,0.85,1.0,entire_home,2
