,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
36,,https://www.airbnb.com/rooms/43338846,1021,monthly,1140,Entire apartment,1,,25.24758,55.29656,0.0,0.0,entire_home,1
37,,https://www.airbnb.com/rooms/40858302,1076,monthly,1215,Entire apartment,1,,25.036,55.206,0.85,0.95,entire_home,4
38,,https://www.airbnb.com/rooms/34665121,1095,monthly,1211,Entire apartment,2,,25.07994,55.14155,0.9,0.95,entire_home,4
39,,https://www.airbnb.com/rooms/43137092,1062,monthly,1186,Entire apartment,1,,25.24765,55.29615,0.0,0.0,entire_home,2
40,,https://www.airbnb.com/rooms/39795204,1085,monthly,1230,Entire apartment,28,,25.03522,55.13976,1.0,1.0,entire_home,3
41,,https://www.airbnb.com/rooms/29267319,1125,monthly,1304,Entire apartment,2,,25.01406,55.25127,0.97,0.98,entire_home,4
42,,https://www.airbnb.com/rooms/30703380,1191,monthly,1366,Entire apartment,2,,25.088,55.149,0.9,0.95,entire_home,3
43,,https://www.airbnb.com/rooms/9403433,1176,monthly,1364,Entire apartment,3,,25.07,55.141,0.75,0.85,entire_home,4
44,,https://www.airbnb.com/rooms/33734479,1050,monthly,1104,Entire apartment,1,,25.08979,55.14934,0.0,0.0,entire_home,4
45,,https://www.airbnb.com/rooms/16536833,1078,monthly,1221,Entire guesthouse,2,,25.21822,55.25653,0.65,0.83,entire_home,2
46,,https://www.airbnb.com/rooms/22895161,1046,monthly,1193,Entire serviced apartment,1,,25.03993,55.21924,0.8,0.0,entire_home,3
47,,https://www.airbnb.com/rooms/42477835,1044,monthly,1194,Entire loft,2,,25.193,55.289,0.9,0.95,entire_home,2
48,,https://www.airbnb.com/rooms/33231301,1111,monthly,1293,Entire serviced apartment,2,,25.0766,55.13976,0.85,0.9,entire_home,4
49,,https://www.airbnb.com/rooms/6258814,1020,monthly,1167,Entire apartment,2,,25.087,55.141,0.4,0.9,entire_home,2
50,,https://www.airbnb.com/rooms/41490783,1044,monthly,1194,Entire apartment,2,,25.034,55.223,0.9,0.95,entire_home,2
51,,https://www.airbnb.com/rooms/43338648,1021,monthly,1140,Entire apartment,1,,25.2481,55.29735,0.0,0.0,entire_home,1
52,,https://www.airbnb.com/rooms/39191190,1062,monthly,1175,Entire serviced apartment,1,,25.09641,55.17514,0.0,0.0,entire_home,2
53,,https://www.airbnb.com/rooms/43193681,1103,monthly,1220,Entire serviced apartment,1,,25.25673,55.28995,0.9,0.95,entire_home,4
54,,https://www.airbnb.com/rooms/6244609,1170,monthly,1333,Entire apartment,5,,25.078,55.138,0.55,0.9,entire_home,2
55,,https://www.airbnb.com/rooms/40433424,1044,monthly,1194,Entire apartment,2,,25.058,55.217,0.9,0.95,entire_home,2
56,,https://www.airbnb.com/rooms/30805324,1044,monthly,1194,Entire apartment,2,,25.03753,55.20168,0.9,0.95,entire_home,3
57,,https://www.airbnb.com/rooms/30805116,1044,monthly,1194,Entire apartment,2,,25.03532,55.20033,0.9,0.95,entire_home,3
58,,https://www.airbnb.com/rooms/34959733,1191,monthly,1366,Entire apartment,2,,25.07,55.141,0.9,0.95,entire_home,4
59,,https://www.airbnb.com/rooms/43551999,1080,monthly,1195,Entire apartment,1,,25.32401,55.37348,0.8,0.9,entire_home,5
60,,https://www.airbnb.com/rooms/6518887,1080,monthly,1233,Entire apartment,3,,25.084,55.143,0.6,0.6,entire_home,2
61,,https://www.airbnb.com/rooms/36957584,1044,monthly,1194,Entire apartment,2,,25.039,55.217,0.9,0.95,entire_home,2
62,,https://www.airbnb.com/rooms/43305161,1086,monthly,1201,Entire apartment,1,,24.98331,55.17763,0.76,0.9,entire_home,2
63,,https://www.airbnb.com/rooms/6243082,1050,monthly,1194,Entire apartment,7,,25.08513,55.14366,0.5,0.97,entire_home,3
64,,https://www.airbnb.com/rooms/37993137,1054,monthly,1181,Entire apartment,10,,25.06814,55.13264,1.0,1.0,entire_home,2
65,,https://www.airbnb.com/rooms/41355310,1026,monthly,1178,Entire apartment,13,,24.94754,55.231,0.9,1.0,entire_home,3
66,,https://www.airbnb.com/rooms/43450274,1176,monthly,1301,Earth house,2,,25.11057,55.17958,1.0,1.0,entire_home,3
67,,https://www.airbnb.com/rooms/40929147,1058,monthly,1170,Entire apartment,1,,25.0324,55.2019,0.85,0.92,entire_home,3
68,,https://www.airbnb.com/rooms/39641552,1062,monthly,1175,Entire serviced apartment,1,,25.10271,55.17386,0.0,0.0,entire_home,2
69,,https://www.airbnb.com/rooms/38129856,1169,monthly,1301,Entire condominium,1,,25.1489,55.39209,0.8,0.0,entire_home,4
70,,https://www.airbnb.com/rooms/29934271,1103,monthly,1220,Entire serviced apartment,1,,25.25691,55.28967,0.9,0.95,entire_home,2
71,,https://www.airbnb.com/rooms/42823732,1180,monthly,1305,Entire serviced apartment,1,,25.17674,55.2398,0.0,0.0,entire_home,2
72,,https://www.airbnb.com/rooms/43250814,1103,monthly,1220,Entire serviced apartment,1,,25.25162,55.29654,0.9,0.95,entire_home,2
73,,https://www.airbnb.com/rooms/40412583,1110,monthly,1228,Entire apartment,30,,25.0611,55.21692,0.0,0.0,entire_home,2
74,,https://www.airbnb.com/rooms/43251781,1103,monthly,1220,Entire serviced apartment,1,,25.25221,55.29422,0.9,0.95,entire_home,3
75,,https://www.airbnb.com/rooms/39427328,1062,monthly,1175,Entire serviced apartment,1,,25.10292,55.17499,0.0,0.0,entire_home,2
76,,https://www.airbnb.com/rooms/39259746,1191,monthly,1366,Entire apartment,2,,25.028,55.208,0.9,0.95,entire_home,2
77,,https://www.airbnb.com/rooms/24864340,1103,monthly,1220,Entire guesthouse,1,,25.25859,55.29002,0.9,0.95,entire_home,3
78,,https://www.airbnb.com/rooms/36610668,1147,monthly,1324,Entire apartment,7,,25.03323,55.15245,0.98,0.99,entire_home,2
79,,https://www.airbnb.com/rooms/43135955,1062,monthly,1175,Entire apartment,1,,25.03579,55.1777,0.65,0.79,entire_home,2
80,,https://www.airbnb.com/rooms/43174389,1184,monthly,1321,Entire apartment,1,,25.24913,55.29601,0.0,0.0,entire_home,1
81,,https://www.airbnb.com/rooms/43417943,1200,monthly,1327,Entire apartment,30,,25.05405,55.19766,1.0,1.0,entire_home,2
82,,https://www.airbnb.com/rooms/31679985,1169,monthly,1347,Entire apartment,7,,25.04557,55.21958,0.8,0.9,entire_home,2
83,,https://www.airbnb.com/rooms/42273083,1037,monthly,1160,Entire apartment,2,,25.28042,55.3254,0.8,0.95,entire_home,2
84,,https://www.airbnb.com/rooms/43184389,1103,monthly,1231,Entire apartment,1,,25.24777,55.29757,0.0,0.0,entire_home,2
85,,https://www.airbnb.com/rooms/33179003,1135,monthly,1176,Entire apartment,1,,25.29242,55.36106,0.0,0.0,entire_home,2
86,,https://www.airbnb.com/rooms/42948365,1044,monthly,1194,Entire apartment,2,,25.037,55.222,0.9,0.95,entire_home,2
87,,https://www.airbnb.com/rooms/31080795,1044,monthly,1194,Entire apartment,2,,25.039,55.144,0.9,0.95,entire_home,2
88,,https://www.airbnb.com/rooms/36953433,1044,monthly,1194,Entire apartment,2,,25.08,55.153,0.9,0.95,entire_home,3
89,,https://www.airbnb.com/rooms/43004293,1088,monthly,1203,Entire serviced apartment,1,,25.29339,55.33513,0.85,1.0,entire_home,2
90,,https://www.airbnb.com/rooms/40388421,1162,monthly,1361,Entire apartment,3,,25.06578,55.21594,0.0,0.0,entire_home,2
91,,https://www.airbnb.com/rooms/42802839,1193,monthly,1365,Entire apartment,1,,24.94918,55.23111,0.0,0.0,entire_home,2
92,,https://www.airbnb.com/rooms/39426942,1062,monthly,1175,Entire serviced apartment,1,,25.09881,55.176,0.0,0.0,entire_home,2
93,,https://www.airbnb.com/rooms/42679352,1139,monthly,1260,Entire serviced apartment,1,,25.29395,55.33546,0.9,0.0,entire_home,2
94,,https://www.airbnb.com/rooms/39037743,1075,monthly,1200,Entire apartment,3,,25.28808,55.45236,0.94,1.0,entire_home,2
95,,https://www.airbnb.com/rooms/40000699,1103,monthly,1280,Entire apartment,1,,25.03552,55.19952,0.9,0.95,entire_home,4
96,,https://www.airbnb.com/rooms/18927776,1078,monthly,1192,Entire apartment,1,,25.06259,55.24024,0.8,0.9,entire_home,2
97,,https://www.airbnb.com/rooms/39575160,1062,monthly,1175,Entire serviced apartment,1,,25.10007,55.17507,0.0,0.0,entire_home,2
