,venue,lat,lon,address,category
164,Parashoot,25.09268,55.188667,,Photography Lab
165,Auto Pro,25.092462,55.186452,,Automotive Shop
166,DIA Security Council,25.078303,55.178425,Emirates Hills,
167,Super Wash,25.092477796103708,55.18664801405378,Enoc Station,Car Wash
168,HEAT Cafe - Healthy Eats & Treats,25.088615,55.191341,Al Barsha,Restaurant
169,Qalat Baalbak Butchershop,25.08343,55.201425,,Butcher
170,Bakemart Gourmet,25.092766,55.185851,,Bakery
171,Mai Himaak Cafeteria,25.093965,55.184957,Hessa Street,Cafeteria
172,Spar,25.088849,55.191079,,Supermarket
173,turning pointe,25.078614,55.178386,,School
174,Makarem Restaurant,25.094397,55.18526,,Restaurant
175,Cute Kids,25.094245,55.185148,,Kids Store
176,Malak Al Tawouk,25.093681,55.185474,,Sandwich Place
177,Bahl Bungalow (Bahl  Bungalow),25.075032,55.183262,Emirates Hills,Nightclub
178,Synergy Properties,25.085064,55.176955,Concord Towers,Office
179,DIA Tennis Courts,25.077398871762195,55.17878875979941,,College Gym
180,Chillout Area @ 36F,25.088133698894264,55.17451340930378,,Campaign Office
181,Platts,25.092411797092403,55.18650434051469,,Office
182,The Secret Enoc Dubai,25.094544,55.179427,,Office
183,Jewellery And Gemplex Building 2,25.085369,55.191398,DMCC,Government Building
184,Al Adil trading Supermarket & Flour Mill,25.095729402889887,55.18470882878123,Near Holiday Inn Al Barsha,Convenience Store
185,Pool @ The Lakes Ghader,25.08068,55.17463,Emirates Living,Housing Development
186,Olive diner - SGHD,25.09646530620009,55.183900052022565,,Diner
187,Centro Conference Room,25.095874786376953,55.19512176513672,Al Barsha 3,Auditorium
188,Balcon Restaurant & Cafe,25.0944,55.184387,Hessa Street,Lebanese Restaurant
189,montgomerie spa,25.093384,55.192702,Emirates Hills,Hotel
190,Filli,25.092158126500355,55.18601367140433,IMPZ,Café
191,Qalat Baalbak Restaurant,25.094366,55.18439,,Restaurant
192,Al Dayaa Lebanese Butchery,25.09297,55.185684,,Butcher
193,Pages Villa,25.091245756860577,55.19402648837535,,Spiritual Center
194,Al Ibdaa Cafe,25.088471,55.191872,Albarsha 3,Coffee Shop
195,"Microsoft @ Dubai Internet City. Dubai, UAE.",25.092005210117097,55.18611611856856,,Building
196,DIB ATM,25.092665,55.186272,,ATM
197,Super Lube @ EPPCO,25.093317,55.18556,,Auto Workshop
198,The Greens,25.08725657162039,55.19272152357334,Barsha North,Residential Building (Apartment / Condo)
199,Arabesque Cafe,25.082641,55.202657,Hessa Street,Café
200,Zoom,25.093140240459107,55.18787679112223,ENOC PETROL STATION,Convenience Store
201,Brick 4 Kids,25.09289,55.185858,,Indoor Play Area
202,Center of Cultural Islamic Affairs,25.086572308609085,55.19646517221581,Al Hessa Street,Cultural Center
203,Art Dubai @ Madinat Jumeira,25.095755261000146,55.188294497832146,,Art Gallery
204,Al Barsha Heights Bus Stop,25.092924,55.177783,,Bus Stop
205,SGHD Accomodation Pool side,25.095848561555915,55.18408876591564,sghd accomodation,Water Park
206,Saleh Ben Lahej Mosque,25.09282477166799,55.19842684688261,,Mosque
207,Gahwetna,25.082937,55.201752,Hessa Street,Café
208,Unwind,25.088657,55.191374,,Café
209,منزل علي الحاج,25.088281,55.193898,البرشاء 3,Garden
