,venue,lat,lon,address,category
20170,Restaurant Dubrovnik,42.64026777453837,18.109411571985536,"Marojice Kaboge 5, Dubrovnik",Restaurant
20171,Zalogajnica,42.585857,18.214719,,Café
20172,Konzum,42.6291718985885,18.164861574769,,Grocery Store
20173,Azur Restaurant,42.639132890447435,18.110579641311837,Pobijana 10,Mediterranean Restaurant
20174,Benedictine Monastery,42.62446457895582,18.12067603073935,,Monastery
20175,Breakfast,42.578480366359095,18.21390927382532,,Breakfast Spot
20176,Sail both Vaníla,42.580792,18.215149,Cavtat,Boat or Ferry
20177,Kozmo P-1924,42.583013,18.215923,Ante Starcevica 34,Cosmetics Shop
20178,MEBLO TRADE D.O.O.,42.63051609583362,18.16421412756151,"CIBACA 8, MLINI",Furniture / Home Store
20179,Villa Filipa,42.5842104962472,18.215229795678635,Supilova 3,Residential Building (Apartment / Condo)
20180,Villa Darrer,42.618147344632774,18.175826242937852,,Residential Building (Apartment / Condo)
20181,Nonenina Bar,42.640179542832946,18.110477160856288,Pred Dvorom 4,Cocktail Bar
20182,Celebrity Equinox - Corfu,42.630465,18.130542,On the sea,Boat or Ferry
20183,Lokrum Visitor Center feat. Game of Thrones,42.62435037444647,18.120594694376674,Lokrum,Tourist Information Center
20184,Vianco,42.62305911638968,18.153831308680523,,Boat or Ferry
20185,Cavtat Customs,42.58280833537253,18.21604064512141,,Boat or Ferry
20186,Prirodoslovni Muzej (Natural-History Museum),42.63991122542124,18.109686442573786,Uz. Iezuite,History Museum
20187,Restaurant Gradska Kavana,42.64074520676205,18.111123382259393,Dubrovnik Castle,Mediterranean Restaurant
20188,Konzum,42.640397277853914,18.109848558170587,,Grocery Store
20189,Restaurant Cavtat,42.58331120867086,18.215855307925455,Frankopanska,Italian Restaurant
20190,Sirocco Beach Bar,42.579418,18.212374,,Lounge
20191,Vice's Bar,42.586534639654666,18.21156362340199,,Bar
20192,Piano Bar - Hotel Croatia,42.57881265178203,18.21370758469979,Frankopanska 10,Hotel Bar
20193,Caffe Bar Bellevue,42.58416,18.214167,,Café
20194,Petar cafe and bar,42.639288789991845,18.10756893769405,,Bar
20195,Pub Dubrovnik,42.639721,18.11002,,Pub
20196,Spinaker Lounge Bar,42.57841533315117,18.214019317105663,,Cocktail Bar
20197,Beach Bar Little Star,42.586662,18.211456,,Bar
20198,Banac,42.579825440032295,18.21582902522092,,Beach Bar
20199,Alverde,42.57884271470215,18.213781855337313,Hotel Croatia,Snack Place
20200,Paparazzo,42.639758,18.110573,Pobijana 2,Steakhouse
20201,Tržište - Market Sq / Plaza Del Mercado,42.640143,18.1098,,Market
20202,"Restaurant Spinaker, Cavtat",42.580125428106655,18.213005169204667,,Seafood Restaurant
20203,Spa Center - Inside Pool,42.578799,18.212999,,Pool
20204,Gianni,42.639934,18.111159,,Ice Cream Shop
20205,Konoba Colona,42.579921171450984,18.2158784750691,,Seafood Restaurant
20206,Rooms Old Town,42.640073,18.107945,,Hostel
20207,Statue Of Marin Držić,42.640496,18.110306,,Outdoor Sculpture
20208,"Galerija Dulčić, Masle, Pulitika",42.640196954959535,18.110566499685458,Držićeva Poljana 1,Art Gallery
20209,Konoba Cavtat,42.583392,18.215891,,Seafood Restaurant
20210,Steak House - Hotel Croatia,42.57807401687534,18.213926649077603,Frankopanska 10,Steakhouse
20211,Hotel Supetar,42.58359645910312,18.215403548958335,Obala Ante Starčevića 27,Hotel
20212,Kulturno-povijesni Muzej (Cultural-history Museum) (Kulturno-povijesni Muzej),42.64031030016001,18.11056634192937,Knežev Dvor,History Museum
20213,Račić Family Mausoleum,42.584717,18.213635,,Spiritual Center
20214,JYSK,42.63001358589791,18.165742914979592,Srebreno 46,Furniture / Home Store
20215,Hostel Villa Angelina (Annex),42.639824,18.109871,,Hostel
20216,Pelceri,42.630561,18.161318,,Garden Center
20217,Etnografski Muzej Rupe (Ethnographic Museums Rupe),42.64027872473975,18.107517968296026,od Rupa 3,Museum
20218,Iron Throne,42.625368,18.121495,Lokrum,Exhibit
20219,Tauulin Bistro,42.64052,18.11035,,Restaurant
20220,Amoret Restaurant,42.639825,18.110771,,Modern European Restaurant
20221,Kazalište Marina Držića KMD,42.640687475420194,18.11017278961746,Pred Dvorom 3,Theater
20222,Ristorante Cafe Royal,42.6235466,18.1562264,"Old Puca ,1",Restaurant
20223,Studio Robinzon Flora and Fauna,42.622904528378605,18.177203264716276,,Residential Building (Apartment / Condo)
20224,Rocks,42.58717548742204,18.211245079605213,,Beach
20225,Zuzori,42.64073661650331,18.10985146621124,,Mediterranean Restaurant
20226,Poljana Ruđera Boškovića,42.63945394741316,18.10960538480704,Poljana Ruđera Boškovića,Plaza
20227,Beach - Hotel Croatia,42.57784465837744,18.213722705841064,Frankopanska 10,Beach
20228,Gym - Hotel Croatia,42.57876108325477,18.212950229644775,Frankopanska 10,Gym
20229,St Blaise Church,42.6408201632519,18.110375340095228,Placa,Church
20230,Taverna Galija,42.58350066360328,18.2148127881909,Vuliceviceva 1,Mediterranean Restaurant
20231,Monastery of Our Lady of the Snow,42.58340395749507,18.214657054070845,,Church
20232,Tvrđava Sveti Ivan (Fort St. Ivana) (Tvrđava Sveti Ivan),42.63991986430376,18.112433159403736,Od Pustijerne,Castle
20233,Hotelpool - Hotel Croatia,42.579002037559626,18.212703466415405,Frankopanska 10,Hotel Pool
20234,Stars beneath stars/zvijezde pod zvijezdama,42.57881,18.213658,Frankopanska 10,Rest Area
20235,Fresh* Sheets B&B,42.64021668125853,18.11011489112004,,Bed & Breakfast
20236,Nudist Beach,42.57842927580289,18.212499618530273,Frankopanska 10,Nudist Beach
20237,Maxi Konzum,42.631374048065894,18.16507117414365,Gornja Čibača 14,Grocery Store
20238,Mrkan,42.573249,18.198811,,Other Great Outdoors
20239,Konova Galija,42.58350068801941,18.214945998857292,,Mediterranean Restaurant
20240,Tuttobene,42.64067496055294,18.10914380626663,Od puća 7,Fast Food Restaurant
20241,Robinson Island,42.595297,18.203168,,Island
20242,Supetar,42.59554021289049,18.20338583564028,,Beach
20243,Tvrđava Royal (Fort Royal) (Tvrđava Royal),42.63005690486756,18.11675784166751,Lokrum,Castle
20244,st jakov beach,42.619959,18.169438,St. Jakov Beach,Bay
20245,Gradska Plaza Cavtat,42.583370208740234,18.215656280517578,,Beach
